Larian Studios NV,Baldur's Gate III
"Capcom Co., Ltd.",Marvel vs. Capcom Fighting Collection: Arcade Classics
The Game Kitchen SL,Ninja Gaiden: Ragebound
"Cellar Door Games, Inc.",Rogue Legacy 2
"Grezzo Co., Ltd.",The Legend of Zelda: Echoes of Wisdom
Nintendo EPD,The Legend of Zelda: Echoes of Wisdom
Two Point Studios Ltd.,Two Point Museum
Guerrilla B.V.,Horizon II: Forbidden West - Complete Edition
"Konami Digital Entertainment Co., Ltd.",Metal Gear Solid Δ: Snake Eater
Half Mermaid Productions,Immortality
Suspicious Developments Ltd.,Tactical Breach Wizards
KO.DLL,Bzzzt
Paradox Development Studio,Victoria 3
11 bit studios S.A.,The Alters
"Terrible Toybox, Inc.",Return to Monkey Island
Bada Games,Return to Monkey Island
The Game Kitchen SL,Blasphemous II
BearBoneStudio,Minds Beneath Us
Acquire Corp.,Octopath Traveler II
Mojiken Studio,A Space for the Unbound
Blizzard Entertainment Inc.,Diablo IV
"id Software, Inc.",Quake II
"Nightdive Studios, LLC",Quake II
MachineGames Sweden AB,Quake II
Artdink Corporation,Dragon Quest III: HD-2D Remake
Wrong Organ,Mouthwashing
h.a.n.d. Inc.,NEO: The World Ends with You
"Square Enix Co., Ltd.",NEO: The World Ends with You
Media Molecule Ltd.,Dreams
"Konami Digital Entertainment Co., Ltd.",Suikoden I&II HD Remaster: Gate Rune & Dunan Unification Wars
Nintendo EPD,Mario Kart World
Sanzaru Games Inc.,Asgard's Wrath II
Square Enix Creative Business Unit III,Final Fantasy XVI
Geography of Robots,NORCO
NeoBards Entertainment Ltd.,Silent Hill f
Giant Squid LLC,Sword of the Sea
"Konami Digital Entertainment Co., Ltd.",Castlevania: Advance Collection
Toylogic Inc.,NieR Replicant ver.1.22474487139...
Tribute Games Inc.,Teenage Mutant Ninja Turtles: Shredder's Revenge
Ryu ga Gotoku Studio,Lost Judgment
"Cygames, Inc.",Granblue Fantasy: Relink
Type-Moon,Fate/stay night: Remastered
"fuzz, Inc.",Fate/stay night: Remastered
GoodbyeWorld Games,Before Your Eyes
Nintendo EPD,Pikmin 4
Perfectly Paranormal AS,The Holy Gosh Darn
